CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM,PRD_PT_NVA_ALIANZA,VOTOS_CAND_NREG,VOTOS_VALIDOS,VOTOS_NULOS,VOTOS_TOTAL,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA,ID_DTTO_FEDERAL_jul2020,ID_DTTO_LOCAL_jul2020,MUNICIPIO_jul2020,NOM_MUN_jul2020,SECCION_jul2020,TIPO_SECC_jul2020,OBSERVACION_MMGE_31jul2020,.fittedPC1,estratificacion_num,indice_grupo,estrato_df
5,16,MICHOACAN,12,23,APATZINǴN,6,APATZINǴN,87,URBANA,B,103,58,62,16,5,9,3,14,2,0,3,1,0,276,10,286,480,ACTA CASILLA,NA,NA,NA,12,23,6,APATZINGAN,87,U,,-0.6323423525953751,1,1,12.1
5,16,MICHOACAN,12,23,APATZINǴN,6,APATZINǴN,87,URBANA,C01,88,71,60,14,4,9,2,12,4,0,0,0,0,264,0,264,479,ACTA CASILLA,NA,NA,NA,12,23,6,APATZINGAN,87,U,,-0.4305755070827072,1,2,12.2
5,16,MICHOACAN,12,23,APATZINǴN,6,APATZINǴN,88,URBANA,B,102,62,65,21,2,9,3,9,7,0,4,0,0,284,13,297,568,ACTA CASILLA,NA,NA,NA,12,23,6,APATZINGAN,88,U,,-0.678436265119952,1,1,12.1
5,16,MICHOACAN,12,23,APATZINǴN,6,APATZINǴN,88,URBANA,C01,98,48,74,25,6,4,5,14,0,0,0,3,3,277,12,292,567,RECUENTO,NA,NA,NA,12,23,6,APATZINGAN,88,U,,-0.7655383925274901,1,1,12.1
5,16,MICHOACAN,12,23,APATZINǴN,6,APATZINǴN,89,URBANA,B,106,60,47,21,4,0,5,8,5,0,2,0,0,258,8,266,523,ACTA CASILLA,NA,NA,NA,12,23,6,APATZINGAN,89,U,,-0.7438081250127251,1,1,12.1
5,16,MICHOACAN,12,23,APATZINǴN,6,APATZINǴN,89,URBANA,C01,104,42,62,21,7,1,5,16,4,0,1,0,0,263,10,273,523,ACTA CASILLA,NA,NA,NA,12,23,6,APATZINGAN,89,U,,-0.8319738444473528,1,1,12.1
5,16,MICHOACAN,12,23,APATZINǴN,6,APATZINǴN,90,URBANA,B,72,54,68,0,0,5,0,12,1,0,1,0,0,213,0,213,385,ACTA CASILLA,NA,NA,NA,12,23,6,APATZINGAN,90,U,,-0.631752275583108,1,1,12.1
5,16,MICHOACAN,12,23,APATZINǴN,6,APATZINǴN,90,URBANA,C01,89,40,41,8,1,6,3,7,2,0,0,3,0,200,3,203,385,ACTA CASILLA,NA,NA,NA,12,23,6,APATZINGAN,90,U,,-1.0085224577685936,1,1,12.1
5,16,MICHOACAN,12,23,APATZINǴN,6,APATZINǴN,91,URBANA,B,100,64,64,14,1,3,1,8,0,0,2,2,0,259,11,270,469,ACTA CASILLA,NA,NA,NA,12,23,6,APATZINGAN,91,U,,-0.6635894430300713,1,1,12.1
5,16,MICHOACAN,12,23,APATZINǴN,6,APATZINǴN,92,URBANA,B,86,62,51,10,6,2,2,14,2,0,1,0,0,236,12,248,404,ACTA CASILLA,NA,NA,NA,12,23,6,APATZINGAN,92,U,,-0.5150808048492354,1,1,12.1
5,16,MICHOACAN,12,23,APATZINǴN,6,APATZINǴN,92,URBANA,C01,90,58,48,10,4,5,0,10,1,0,2,1,0,229,3,232,404,ACTA CASILLA,NA,NA,NA,12,23,6,APATZINGAN,92,U,,-0.6761443629303181,1,1,12.1
