CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,NVA_ALIANZA,MORENA,ES,PRD_PAN,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,CAND_IND1,CAND_IND2,VOTOS_CAND_NREG,VOTOS_VALIDOS,VOTOS_NULOS,VOTOS_TOTAL,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA,ID_DTTO_FEDERAL_jul2020,ID_DTTO_LOCAL_jul2020,MUNICIPIO_jul2020,NOM_MUN_jul2020,SECCION_jul2020,TIPO_SECC_jul2020,OBSERVACION_MMGE_31jul2020,.fittedPC1,estratificacion_num,indice_grupo,estrato_df
2,32,ZACATECAS,4,15,PINOS,39,PINOS,1149,RURAL,B,2,80,7,25,10,2,99,1,0,0,2,0,1,0,0,0,229,3,232,347,ACTA CASILLA,NA,NA,NA,4,15,38,PINOS,1149,R,NA,2.1004042661850897,2,2,4.2
2,32,ZACATECAS,1,5,FRESNILLO,13,FRESNILLO,304,RURAL,B,13,161,16,11,15,7,40,33,2,0,1,0,0,1,0,0,300,14,314,563,ACTA CASILLA,NA,NA,NA,1,5,10,FRESNILLO,304,R,NA,2.0698143663705073,2,2,1.2
2,32,ZACATECAS,1,6,FRESNILLO,13,FRESNILLO,204,URBANO(A),B,39,97,11,6,6,4,181,37,2,2,5,0,0,6,10,2,406,10,418,653,ACTA CASILLA,NA,NA,NA,1,6,10,FRESNILLO,204,U,NA,4.036053201458093,2,2,1.2
2,32,ZACATECAS,4,8,OJOCALIENTE,50,TRANCOSO,533,MIXTO(A),B,7,117,67,16,6,9,100,61,5,0,0,0,0,1,1,0,390,9,399,558,GRUPO DE RECUENTO,NA,NA,NA,4,8,57,TRANCOSO,533,U,NA,2.441696637145997,2,2,4.2
2,32,ZACATECAS,3,2,ZACATECAS,58,ZACATECAS,1809,URBANO(A),B,34,98,22,6,2,5,118,7,2,0,0,1,0,7,10,0,312,4,316,460,ACTA CASILLA,NA,NA,NA,3,2,56,ZACATECAS,1809,U,NA,2.5164369410362695,2,2,3.2
2,32,ZACATECAS,3,2,ZACATECAS,58,ZACATECAS,1809,URBANO(A),C01,35,101,15,4,5,1,102,4,4,0,0,0,0,3,4,0,278,13,291,460,ACTA CASILLA,NA,NA,NA,3,2,56,ZACATECAS,1809,U,NA,2.194590674256475,2,2,3.2
2,32,ZACATECAS,1,6,FRESNILLO,13,FRESNILLO,205,URBANO(A),B,50,88,18,5,2,3,126,19,7,0,1,0,0,5,5,0,329,5,334,517,ACTA CASILLA,NA,NA,NA,1,6,10,FRESNILLO,205,U,NA,2.454308313541295,2,2,1.2
2,32,ZACATECAS,1,5,FRESNILLO,13,FRESNILLO,251,RURAL,C01,12,63,8,11,3,4,74,19,3,1,1,0,0,1,2,0,202,8,210,377,GRUPO DE RECUENTO,NA,NA,NA,1,5,10,FRESNILLO,251,R,NA,1.160806635179458,2,1,1.1
2,32,ZACATECAS,3,2,ZACATECAS,58,ZACATECAS,1810,URBANO(A),B,27,83,16,3,6,3,96,11,2,0,0,1,0,1,1,0,250,5,255,392,ACTA CASILLA,NA,NA,NA,3,2,56,ZACATECAS,1810,U,NA,1.8834813709526448,2,2,3.2
2,32,ZACATECAS,1,5,FRESNILLO,13,FRESNILLO,250,MIXTO(A),C01,11,145,10,10,4,4,82,22,0,1,2,1,0,2,3,0,297,7,304,548,GRUPO DE RECUENTO,NA,NA,NA,1,5,10,FRESNILLO,250,M,NA,2.6179880894837537,2,2,1.2
2,32,ZACATECAS,3,1,ZACATECAS,58,ZACATECAS,1860,URBANO(A),B,16,94,16,1,8,1,119,26,1,1,0,0,0,12,3,0,298,1,299,536,ACTA CASILLA,NA,NA,NA,3,1,56,ZACATECAS,1860,U,NA,2.5925135167294906,2,2,3.2
2,32,ZACATECAS,3,2,ZACATECAS,58,ZACATECAS,1808,URBANO(A),B,27,85,16,1,2,2,109,5,3,2,1,0,0,7,12,0,272,2,274,441,ACTA CASILLA,NA,NA,NA,3,2,56,ZACATECAS,1808,U,NA,2.1497452805354564,2,2,3.2
2,32,ZACATECAS,4,8,OJOCALIENTE,36,OJOCALIENTE,1045,URBANO(A),C01,9,73,17,10,5,8,47,25,0,2,0,0,0,1,0,0,197,4,201,385,GRUPO DE RECUENTO,NA,NA,NA,2,8,36,OJOCALIENTE,1045,U,NA,0.7995933527710268,2,1,4.1
2,32,ZACATECAS,4,3,GUADALUPE,16,GUADALUPE,543,MIXTO(A),B,7,126,12,31,11,1,50,30,0,2,1,0,0,2,2,0,275,11,286,521,GRUPO DE RECUENTO,NA,NA,NA,4,3,17,GUADALUPE,543,M,NA,1.6840296852779675,2,2,4.2
2,32,ZACATECAS,4,11,VILLANUEVA,36,OJOCALIENTE,1073,RURAL,B,19,139,17,90,6,3,37,32,5,2,3,0,0,1,2,0,356,16,372,740,ACTA CASILLA,NA,NA,NA,2,11,36,OJOCALIENTE,1073,R,NA,1.5053495877240275,2,1,4.1
2,32,ZACATECAS,1,5,FRESNILLO,13,FRESNILLO,339,RURAL,B,6,37,4,5,3,3,132,28,0,0,0,0,0,1,1,0,220,4,224,361,GRUPO DE RECUENTO,NA,NA,NA,1,5,10,FRESNILLO,339,R,NA,2.039395987212256,2,2,1.2
