CLAVE_CASILLA,ID_ESTADO,estrato
080564B0100,8,17
080564C0100,8,17
080564C0200,8,17
080564C0300,8,17
080565B0100,8,17
080565C0100,8,17
080566B0100,8,8
080566C0100,8,8
080567B0100,8,17
080568B0100,8,8
080568C0100,8,8
080569B0100,8,17
080569C0100,8,17
080570B0100,8,17
080570C0100,8,17
080571B0100,8,8
080571C0100,8,8
080572B0100,8,17
080572C0100,8,17
080572C0200,8,17
080572C0300,8,17
080573B0100,8,8
080573C0100,8,8
080574B0100,8,15
080574C0100,8,15
080574C0200,8,15
080575B0100,8,15
080575C0100,8,15
080575C0200,8,15
080576B0100,8,6
080576C0100,8,6
080577B0100,8,17
080578B0100,8,17
080578E0100,8,8
080579B0100,8,17
080580B0100,8,8
080580C0100,8,8
080581B0100,8,8
080581C0100,8,8
080582B0100,8,17
080583B0100,8,17
080583C0100,8,17
080583C0200,8,17
080584B0100,8,8
080584C0100,8,8
080585B0100,8,8
080585C0100,8,8
080586B0100,8,8
080586C0100,8,8
080587B0100,8,8
080587C0100,8,8
080588B0100,8,17
080589B0100,8,17
080590B0100,8,8
080590C0100,8,8
080591B0100,8,8
080591C0100,8,8
080592B0100,8,17
080592C0100,8,17
080593B0100,8,17
080593C0100,8,17
080593C0200,8,17
080594B0100,8,17
080595B0100,8,8
080595C0100,8,8
080596B0100,8,17
080596C0100,8,17
080596C0200,8,17
080596C0300,8,17
080596C0400,8,17
080596E0100,8,17
080596E0101,8,17
080596E0102,8,17
080596E0103,8,17
080596E0200,8,17
080596E0201,8,17
080596E0202,8,17
080596E0203,8,17
080597B0100,8,8
080597C0100,8,8
080598B0100,8,8
080598C0100,8,8
080599B0100,8,8
080599C0100,8,8
080600B0100,8,17
080600C0100,8,17
080601B0100,8,8
080601C0100,8,8
080602B0100,8,8
080602C0100,8,8
080603B0100,8,17
080604B0100,8,17
080604C0100,8,17
080604C0200,8,17
080605B0100,8,17
080605C0100,8,17
080605C0200,8,17
080605E0100,8,8
080605E0101,8,8
080606B0100,8,17
080607B0100,8,6
080607C0100,8,6
080608B0100,8,15
080608C0100,8,15
080608C0200,8,15
080608C0300,8,15
080608E0100,8,15
080608E0101,8,15
080608E0102,8,15
080608E0103,8,15
080608E0200,8,15
080608E0201,8,15
080608E0202,8,15
080608E0203,8,15
080608E0204,8,15
080608E0300,8,15
080608E0301,8,15
080608E0302,8,15
080608E0303,8,15
080608E0400,8,15
080608E0401,8,15
080608E0402,8,15
080608E0403,8,15
080608E0500,8,15
080608E0501,8,15
080608E0502,8,15
080608E0503,8,15
080609B0100,8,17
080609C0100,8,17
080609E0100,8,17
080609E0101,8,17
080609E0102,8,17
080609E0103,8,17
080609E0104,8,17
080609E0200,8,17
080609E0201,8,17
080609E0202,8,17
080609E0203,8,17
080609E0204,8,17
080609E0205,8,17
080609E0300,8,8
080609E0301,8,8
080612B0100,8,17
080612C0100,8,17
080612C0200,8,17
080612C0300,8,17
080612C0400,8,17
080612C0500,8,17
080612E0100,8,17
080612E0101,8,17
080612E0102,8,17
080614B0100,8,8
080614C0100,8,8
080614C0200,8,8
080615B0100,8,8
080615C0100,8,8
080616B0100,8,17
080616C0100,8,17
080617B0100,8,17
080617C0100,8,17
080617C0200,8,17
080618B0100,8,8
080618C0100,8,8
080619B0100,8,8
080619C0100,8,8
080620B0100,8,8
080620C0100,8,8
080621B0100,8,15
080621C0100,8,15
080621C0200,8,15
080621C0300,8,15
080621C0400,8,15
080621C0500,8,15
080622B0100,8,6
080623B0100,8,15
080623C0100,8,15
080623C0200,8,15
080623C0300,8,15
080624B0100,8,6
080624C0100,8,6
080625B0100,8,6
080625C0100,8,6
080626B0100,8,15
080626C0100,8,15
080626C0200,8,15
080627B0100,8,8
080627C0100,8,8
080628B0100,8,17
080629B0100,8,17
080630B0100,8,17
080631B0100,8,8
080631C0100,8,8
080632B0100,8,8
080632C0100,8,8
080633B0100,8,17
080633C0100,8,17
080634B0100,8,17
080635B0100,8,8
080636B0100,8,8
080636C0100,8,8
080636S0100,8,8
080637B0100,8,17
080638B0100,8,6
080638C0100,8,6
080639B0100,8,15
080640B0100,8,6
080640C0100,8,6
080641B0100,8,15
080641C0100,8,15
080641C0200,8,15
080641C0300,8,15
080641C0400,8,15
080641C0500,8,15
080641C0600,8,15
080641C0700,8,15
080641C0800,8,15
080641C0900,8,15
080641C1000,8,15
080641C1100,8,15
080641C1200,8,15
080641C1300,8,15
080641C1400,8,15
080641C1500,8,15
080642B0100,8,6
080642C0100,8,6
080643B0100,8,15
080643C0100,8,15
080644B0100,8,8
080644C0100,8,8
080645B0100,8,17
080646B0100,8,17
080646C0100,8,17
080647B0100,8,8
080647C0100,8,8
080648B0100,8,8
080649B0100,8,8
080649C0100,8,8
080650B0100,8,8
080651B0100,8,17
080652B0100,8,17
080653B0100,8,15
080653C0100,8,15
080653C0200,8,15
080653C0300,8,15
080653C0400,8,15
080653C0500,8,15
080653C0600,8,15
080654B0100,8,6
080654C0100,8,6
080655B0100,8,15
080656B0100,8,15
080657B0100,8,6
080657C0100,8,6
080658B0100,8,15
080659B0100,8,15
080660B0100,8,6
080660C0100,8,6
080661B0100,8,15
080661C0100,8,15
080661C0200,8,15
080661C0300,8,15
080661C0400,8,15
080662B0100,8,8
080663B0100,8,8
080664B0100,8,8
080665B0100,8,8
080666B0100,8,17
080667B0100,8,8
080668B0100,8,17
080669B0100,8,17
080669C0100,8,17
080671B0100,8,17
080671C0100,8,17
080672B0100,8,17
080673B0100,8,17
080674B0100,8,8
080674C0100,8,8
080675B0100,8,15
080676B0100,8,6
080676C0100,8,6
080677B0100,8,15
080678B0100,8,15
080679B0100,8,6
080679C0100,8,6
080680B0100,8,15
080681B0100,8,15
080682B0100,8,15
080683B0100,8,17
080684B0100,8,8
080684C0100,8,8
080685B0100,8,8
080686B0100,8,17
080687B0100,8,17
080688B0100,8,8
080688C0100,8,8
080689B0100,8,17
080689C0100,8,17
080689C0200,8,17
080690B0100,8,8
080690C0100,8,8
080691B0100,8,8
080691C0100,8,8
080692B0100,8,17
080692C0100,8,17
080693B0100,8,17
080694B0100,8,8
080695B0100,8,8
080695C0100,8,8
080696B0100,8,15
080696C0100,8,6
080697B0100,8,15
080697C0100,8,15
080698B0100,8,6
080699B0100,8,6
080699C0100,8,6
080700B0100,8,15
080701B0100,8,15
080702B0100,8,15
080703B0100,8,6
080703C0100,8,6
080703C0200,8,6
080704B0100,8,6
080704C0100,8,6
080705B0100,8,15
080705C0100,8,15
080706B0100,8,15
080707B0100,8,15
080708B0100,8,6
080709B0100,8,15
080710B0100,8,15
080712B0100,8,8
080713B0100,8,17
080713C0100,8,17
080714B0100,8,17
080714C0100,8,17
080715B0100,8,17
080716B0100,8,8
080716C0100,8,8
080717B0100,8,17
080717C0100,8,17
080718B0100,8,17
080718C0100,8,17
080718C0200,8,17
080718C0300,8,17
080718C0400,8,17
080719B0100,8,17
080719C0100,8,17
080720B0100,8,6
080720C0100,8,6
080721B0100,8,6
080721C0100,8,6
080722B0100,8,6
080722C0100,8,6
080723B0100,8,6
080723C0100,8,6
080724B0100,8,6
080724C0100,8,6
080725B0100,8,15
080725C0100,8,15
080725C0200,8,15
080726B0100,8,15
080726C0100,8,15
080726C0200,8,15
080727B0100,8,6
080728B0100,8,15
080729B0100,8,6
080730B0100,8,6
080730C0100,8,6
080731B0100,8,15
080732B0100,8,15
080733B0100,8,15
080734B0100,8,6
080734C0100,8,6
080735B0100,8,15
080736B0100,8,15
080736C0100,8,15
080737B0100,8,15
080738B0100,8,6
080739B0100,8,8
080739C0100,8,8
080740B0100,8,17
080740C0100,8,17
080740C0200,8,17
080741B0100,8,15
080742B0100,8,6
080743B0100,8,15
080744B0100,8,15
080745B0100,8,6
080745C0100,8,6
080746B0100,8,6
080746C0100,8,6
080747B0100,8,15
080748B0100,8,6
080748C0100,8,6
080749B0100,8,6
080750B0100,8,6
080751B0100,8,6
080752B0100,8,6
080752C0100,8,6
080753B0100,8,15
080753C0100,8,15
080753C0200,8,15
080753C0300,8,15
080754B0100,8,15
080754C0100,8,15
080754C0200,8,15
080754C0300,8,15
080754C0400,8,15
080754C0500,8,15
080754C0600,8,15
080754C0700,8,15
080754C0800,8,15
080755B0100,8,6
080756B0100,8,6
080756C0100,8,6
080757B0100,8,6
080757C0100,8,6
080758B0100,8,6
080758C0100,8,6
080759B0100,8,6
080759C0100,8,6
080760B0100,8,15
080760C0100,8,15
080761B0100,8,15
080761C0100,8,15
080762B0100,8,6
080762C0100,8,6
080763B0100,8,6
080763C0100,8,6
080764B0100,8,6
080765B0100,8,15
080766B0100,8,6
080766C0100,8,6
080767B0100,8,17
080767C0100,8,17
080768B0100,8,17
080768C0100,8,17
080769B0100,8,15
080770B0100,8,6
080771B0100,8,6
080771C0100,8,6
080772B0100,8,6
080772C0100,8,6
080773B0100,8,6
080773C0100,8,6
080774B0100,8,15
080774C0100,8,15
080775B0100,8,15
080775C0100,8,15
080776B0100,8,6
080777B0100,8,6
080777C0100,8,6
080778B0100,8,15
080778C0100,8,15
080779B0100,8,15
080779C0100,8,15
080780B0100,8,15
080781B0100,8,6
080782B0100,8,6
080782C0100,8,6
080783B0100,8,15
080784B0100,8,15
080785B0100,8,17
080785S0100,8,8
080786B0100,8,8
